   Tcen(MeV)       Tup(MeV)        Tdown(MeV)      chi2           chi4             chi6           chi8             chi10
   9.8636728e+01   9.9595142e+01   9.7696585e+01   3.0341510e-03   3.0499673e-03   3.1161205e-03   3.3207269e-03   5.5951721e-03
   9.9438653e+01   1.0040486e+02   9.8490866e+01   3.2275411e-03   3.2454947e-03   3.3205396e-03   3.5546469e-03   6.0813213e-03
   1.0024058e+02   1.0121457e+02   9.9285147e+01   3.4302316e-03   3.4505819e-03   3.5351947e-03   3.8086839e-03   6.6265134e-03
   1.0104250e+02   1.0202429e+02   1.0007943e+02   3.6425384e-03   3.6655299e-03   3.7613685e-03   4.0683517e-03   7.2220354e-03
   1.0184443e+02   1.0283401e+02   1.0087371e+02   3.8647835e-03   3.8907217e-03   3.9986456e-03   4.3495871e-03   7.8661780e-03
   1.0264635e+02   1.0364372e+02   1.0166799e+02   4.0973006e-03   4.1265003e-03   4.2477713e-03   4.6489617e-03   8.5850744e-03
   1.0344828e+02   1.0445344e+02   1.0246227e+02   4.3404321e-03   4.3732291e-03   4.5094331e-03   4.9637575e-03   9.3256793e-03
   1.0425020e+02   1.0526316e+02   1.0325655e+02   4.5945309e-03   4.6313006e-03   4.7839903e-03   5.2958070e-03   1.0159662e-02
   1.0505213e+02   1.0607287e+02   1.0405083e+02   4.8599622e-03   4.9011199e-03   5.0715047e-03   5.6543441e-03   1.1070391e-02
   1.0585405e+02   1.0688259e+02   1.0484512e+02   5.1371039e-03   5.1830138e-03   5.3743739e-03   6.0113249e-03   1.2039916e-02
   1.0665597e+02   1.0769231e+02   1.0563940e+02   5.4263403e-03   5.4775764e-03   5.6889721e-03   6.4402282e-03   1.3081554e-02
   1.0745790e+02   1.0850202e+02   1.0643368e+02   5.7280787e-03   5.7850437e-03   6.0211560e-03   6.8418958e-03   1.4215057e-02
   1.0825982e+02   1.0931174e+02   1.0722796e+02   6.0427344e-03   6.1059549e-03   6.3687101e-03   7.2762312e-03   1.5449193e-02
   1.0906175e+02   1.1012146e+02   1.0802224e+02   6.3707358e-03   6.4408293e-03   6.7312165e-03   7.7608771e-03   1.6805244e-02
