#muB/T	T[MeV]	p/T^4	error	nB/T^3	error	s/T^4	error	e/T^4	error	nS/T^3	error	chiS2	error
1.0	169	1.048e+00	6.069e-02	1.772e-01	1.478e-03	7.529e+00	3.165e-01	6.659e+00	3.234e-01	-1.184e-01	2.731e-03	4.379e-01	1.568e-02
1.0	170	1.069e+00	6.649e-02	1.802e-01	1.529e-03	7.668e+00	3.285e-01	6.780e+00	3.396e-01	-1.213e-01	2.635e-03	4.482e-01	1.640e-02
1.0	171	1.090e+00	6.534e-02	1.832e-01	1.586e-03	7.805e+00	3.151e-01	6.898e+00	3.258e-01	-1.243e-01	2.848e-03	4.587e-01	1.599e-02
1.0	172	1.111e+00	6.108e-02	1.860e-01	1.559e-03	7.938e+00	2.927e-01	7.014e+00	2.986e-01	-1.272e-01	3.097e-03	4.694e-01	1.495e-02
1.0	173	1.132e+00	5.975e-02	1.888e-01	1.442e-03	8.069e+00	2.878e-01	7.126e+00	2.852e-01	-1.301e-01	3.081e-03	4.799e-01	1.457e-02
1.0	174	1.153e+00	6.221e-02	1.915e-01	1.335e-03	8.197e+00	3.018e-01	7.235e+00	2.913e-01	-1.331e-01	2.895e-03	4.904e-01	1.509e-02
1.0	175	1.175e+00	6.295e-02	1.942e-01	1.315e-03	8.323e+00	3.070e-01	7.342e+00	2.930e-01	-1.361e-01	2.828e-03	5.005e-01	1.538e-02
1.0	176	1.196e+00	5.706e-02	1.968e-01	1.355e-03	8.446e+00	2.813e-01	7.447e+00	2.687e-01	-1.391e-01	2.970e-03	5.103e-01	1.493e-02
1.0	177	1.218e+00	4.917e-02	1.993e-01	1.369e-03	8.567e+00	2.475e-01	7.549e+00	2.407e-01	-1.422e-01	3.123e-03	5.197e-01	1.495e-02
1.0	178	1.239e+00	4.756e-02	2.018e-01	1.344e-03	8.686e+00	2.414e-01	7.649e+00	2.422e-01	-1.453e-01	3.086e-03	5.288e-01	1.592e-02
1.0	179	1.260e+00	5.372e-02	2.042e-01	1.348e-03	8.802e+00	2.654e-01	7.746e+00	2.704e-01	-1.484e-01	3.057e-03	5.376e-01	1.675e-02
1.0	180	1.281e+00	6.005e-02	2.065e-01	1.407e-03	8.915e+00	2.836e-01	7.840e+00	2.890e-01	-1.516e-01	3.289e-03	5.462e-01	1.602e-02
1.0	181	1.302e+00	6.061e-02	2.088e-01	1.461e-03	9.024e+00	2.680e-01	7.931e+00	2.729e-01	-1.549e-01	3.666e-03	5.545e-01	1.434e-02
1.0	182	1.323e+00	5.781e-02	2.110e-01	1.416e-03	9.131e+00	2.372e-01	8.019e+00	2.426e-01	-1.583e-01	3.835e-03	5.626e-01	1.396e-02
1.0	183	1.344e+00	5.626e-02	2.132e-01	1.283e-03	9.235e+00	2.257e-01	8.105e+00	2.328e-01	-1.619e-01	3.546e-03	5.705e-01	1.538e-02
1.0	184	1.365e+00	5.739e-02	2.153e-01	1.168e-03	9.337e+00	2.448e-01	8.187e+00	2.521e-01	-1.656e-01	3.107e-03	5.780e-01	1.654e-02
1.0	185	1.387e+00	5.807e-02	2.174e-01	1.135e-03	9.437e+00	2.675e-01	8.267e+00	2.725e-01	-1.692e-01	3.055e-03	5.854e-01	1.570e-02
1.0	186	1.409e+00	5.502e-02	2.194e-01	1.136e-03	9.534e+00	2.699e-01	8.344e+00	2.707e-01	-1.727e-01	3.418e-03	5.924e-01	1.433e-02
1.0	187	1.432e+00	5.143e-02	2.214e-01	1.072e-03	9.630e+00	2.646e-01	8.419e+00	2.624e-01	-1.760e-01	3.676e-03	5.993e-01	1.468e-02
1.0	188	1.456e+00	5.148e-02	2.233e-01	9.628e-04	9.725e+00	2.688e-01	8.492e+00	2.677e-01	-1.789e-01	3.436e-03	6.059e-01	1.654e-02
